location_id,alertListId,alertTitle,alertDetail,alertDate,active
201634,1,"""New In""","""Covid19 Air Travel Bubble Flights between Singapore and Hong Kong""",4/1/21,TRUE
701810,2,"""New In""","""Covid19 Entry Requirements for Travellers to China""",4/1/21,TRUE
260702,3,"""Breaking News""","""Hospitals reduce non urgent surgery to prepare for surge in Covid19 cases in S'pore""",4/1/21,TRUE
276282,4,"""Channel News Octo""","""Temporary Covid 19 curbs will not derail Singapore recovery say economists""",4/1/21,TRUE
222470,5,"""Channel News Octo""","""Olympics Coe says Tokyo 2020 organisers delivered on Covid19 protocols""",4/1/21,TRUE
371330,6,"""Turbo Times""","""Malaysia's vaccination plan may be delayed as 'pharmaceutical firms prioritise rich nations', says minister""",4/1/21,TRUE
620676,7,"""Turbo Times""","""Cruises eye smoother waters with Covid19 vaccines health bubbles'""",4/1/21,TRUE
490748,8,"""Breaking News""","""1 community infection among 16 new Covid19 cases in SG , not linked to TTSH cluster""",4/1/21,TRUE
271536,9,"""Channel News Octo""","""South Korea says AstraZeneca Pfizer Covid19 vaccines 87% effective after first shot""",4/1/21,TRUE
757467,10,"""New In""","""Covid19 Air Travel Bubble Flights between Singapore and Hong Kong""",5/1/21,TRUE
409165,11,"""New In""","""Covid19 Entry Requirements for Travellers to China""",6/1/21,TRUE
293841,12,"""Breaking News""","""Hospitals reduce non urgent surgery to prepare for surge in Covid19 cases in S'pore""",7/1/21,TRUE
224626,13,"""Channel News Octo""","""Temporary Covid 19 curbs will not derail Singapore recovery say economists""",8/1/21,TRUE
712757,14,"""Channel News Octo""","""Olympics Coe says Tokyo 2020 organisers delivered on Covid19 protocols""",9/1/21,TRUE
683601,15,"""Turbo Times""","""Malaysia's vaccination plan may be delayed as 'pharmaceutical firms prioritise rich nations', says minister""",10/1/21,TRUE
959395,16,"""Turbo Times""","""Cruises eye smoother waters with Covid19 vaccines health bubbles'""",11/1/21,TRUE
658836,17,"""Breaking News""","""1 community infection among 16 new Covid19 cases in SG , not linked to TTSH cluster""",12/1/21,TRUE
325746,18,"""Channel News Octo""","""South Korea says AstraZeneca Pfizer Covid19 vaccines 87% effective after first shot""",13/1/21,TRUE
499721,19,"""New In""","""Covid19 Air Travel Bubble Flights between Singapore and Hong Kong""",14/1/21,TRUE
891208,20,"""New In""","""Covid19 Entry Requirements for Travellers to China""",15/1/21,TRUE
968423,21,"""Breaking News""","""Hospitals reduce non urgent surgery to prepare for surge in Covid19 cases in S'pore""",16/1/21,TRUE
487209,22,"""Channel News Octo""","""Temporary Covid 19 curbs will not derail Singapore recovery say economists""",17/1/21,TRUE
101351,23,"""Channel News Octo""","""Olympics Coe says Tokyo 2020 organisers delivered on Covid19 protocols""",18/1/21,TRUE
777158,24,"""Turbo Times""","""Malaysia's vaccination plan may be delayed as 'pharmaceutical firms prioritise rich nations', says minister""",19/1/21,TRUE
318990,25,"""Turbo Times""","""Cruises eye smoother waters with Covid19 vaccines health bubbles'""",20/1/21,TRUE
702810,26,"""Breaking News""","""1 community infection among 16 new Covid19 cases in SG , not linked to TTSH cluster""",21/1/21,TRUE
611843,27,"""Channel News Octo""","""South Korea says AstraZeneca Pfizer Covid19 vaccines 87% effective after first shot""",22/1/21,TRUE
822194,28,"""New In""","""Covid19 Air Travel Bubble Flights between Singapore and Hong Kong""",23/1/21,TRUE
414292,29,"""New In""","""Covid19 Entry Requirements for Travellers to China""",24/1/21,TRUE
186907,30,"""Breaking News""","""Hospitals reduce non urgent surgery to prepare for surge in Covid19 cases in S'pore""",25/1/21,TRUE
286567,31,"""Channel News Octo""","""Temporary Covid 19 curbs will not derail Singapore recovery say economists""",26/1/21,TRUE
448982,32,"""Channel News Octo""","""Olympics Coe says Tokyo 2020 organisers delivered on Covid19 protocols""",27/1/21,TRUE
128830,33,"""Turbo Times""","""Malaysia's vaccination plan may be delayed as 'pharmaceutical firms prioritise rich nations', says minister""",28/1/21,TRUE
425370,34,"""Turbo Times""","""Cruises eye smoother waters with Covid19 vaccines health bubbles'""",29/1/21,TRUE
735224,35,"""Breaking News""","""1 community infection among 16 new Covid19 cases in SG , not linked to TTSH cluster""",30/1/21,TRUE
298360,36,"""Channel News Octo""","""South Korea says AstraZeneca Pfizer Covid19 vaccines 87% effective after first shot""",31/1/21,TRUE
630683,37,"""New In""","""Covid19 Air Travel Bubble Flights between Singapore and Hong Kong""",1/2/21,TRUE
802499,38,"""New In""","""Covid19 Entry Requirements for Travellers to China""",2/2/21,TRUE
172681,39,"""Breaking News""","""Hospitals reduce non urgent surgery to prepare for surge in Covid19 cases in S'pore""",3/2/21,TRUE
535661,40,"""Channel News Octo""","""Temporary Covid 19 curbs will not derail Singapore recovery say economists""",4/2/21,TRUE
456826,41,"""Channel News Octo""","""Olympics Coe says Tokyo 2020 organisers delivered on Covid19 protocols""",5/2/21,TRUE
210630,42,"""Turbo Times""","""Malaysia's vaccination plan may be delayed as 'pharmaceutical firms prioritise rich nations', says minister""",6/2/21,TRUE
241746,43,"""Turbo Times""","""Cruises eye smoother waters with Covid19 vaccines health bubbles'""",7/2/21,TRUE
988171,44,"""Breaking News""","""1 community infection among 16 new Covid19 cases in SG , not linked to TTSH cluster""",8/2/21,TRUE
176827,45,"""Channel News Octo""","""South Korea says AstraZeneca Pfizer Covid19 vaccines 87% effective after first shot""",9/2/21,TRUE
856299,46,"""New In""","""Covid19 Air Travel Bubble Flights between Singapore and Hong Kong""",10/2/21,TRUE
331618,47,"""New In""","""Covid19 Entry Requirements for Travellers to China""",11/2/21,TRUE
911439,48,"""Breaking News""","""Hospitals reduce non urgent surgery to prepare for surge in Covid19 cases in S'pore""",12/2/21,TRUE
727423,49,"""Channel News Octo""","""Temporary Covid 19 curbs will not derail Singapore recovery say economists""",13/2/21,TRUE
835308,50,"""Channel News Octo""","""Olympics Coe says Tokyo 2020 organisers delivered on Covid19 protocols""",14/2/21,TRUE
654044,51,"""Turbo Times""","""Malaysia's vaccination plan may be delayed as 'pharmaceutical firms prioritise rich nations', says minister""",15/2/21,TRUE
567400,52,"""Turbo Times""","""Cruises eye smoother waters with Covid19 vaccines health bubbles'""",16/2/21,TRUE
262489,53,"""Breaking News""","""1 community infection among 16 new Covid19 cases in SG , not linked to TTSH cluster""",17/2/21,TRUE
141653,54,"""Channel News Octo""","""South Korea says AstraZeneca Pfizer Covid19 vaccines 87% effective after first shot""",18/2/21,TRUE
975880,55,"""New In""","""Covid19 Air Travel Bubble Flights between Singapore and Hong Kong""",19/2/21,TRUE
435390,56,"""New In""","""Covid19 Entry Requirements for Travellers to China""",20/2/21,TRUE
763344,57,"""Breaking News""","""Hospitals reduce non urgent surgery to prepare for surge in Covid19 cases in S'pore""",21/2/21,TRUE
114336,58,"""Channel News Octo""","""Temporary Covid 19 curbs will not derail Singapore recovery say economists""",22/2/21,TRUE
227137,59,"""Channel News Octo""","""Olympics Coe says Tokyo 2020 organisers delivered on Covid19 protocols""",23/2/21,TRUE
868828,60,"""Turbo Times""","""Malaysia's vaccination plan may be delayed as 'pharmaceutical firms prioritise rich nations', says minister""",24/2/21,TRUE
150148,61,"""Turbo Times""","""Cruises eye smoother waters with Covid19 vaccines health bubbles'""",25/2/21,TRUE
587055,62,"""Breaking News""","""1 community infection among 16 new Covid19 cases in SG , not linked to TTSH cluster""",26/2/21,TRUE
109599,63,"""Channel News Octo""","""South Korea says AstraZeneca Pfizer Covid19 vaccines 87% effective after first shot""",27/2/21,TRUE
288006,64,"""New In""","""Covid19 Air Travel Bubble Flights between Singapore and Hong Kong""",28/2/21,TRUE
665949,65,"""New In""","""Covid19 Entry Requirements for Travellers to China""",1/3/21,TRUE
855642,66,"""Breaking News""","""Hospitals reduce non urgent surgery to prepare for surge in Covid19 cases in S'pore""",2/3/21,TRUE
875628,67,"""Channel News Octo""","""Temporary Covid 19 curbs will not derail Singapore recovery say economists""",3/3/21,TRUE
145644,68,"""Channel News Octo""","""Olympics Coe says Tokyo 2020 organisers delivered on Covid19 protocols""",4/3/21,TRUE
541585,69,"""Turbo Times""","""Malaysia's vaccination plan may be delayed as 'pharmaceutical firms prioritise rich nations', says minister""",5/3/21,TRUE
436576,70,"""Turbo Times""","""Cruises eye smoother waters with Covid19 vaccines health bubbles'""",6/3/21,TRUE
435933,71,"""Breaking News""","""1 community infection among 16 new Covid19 cases in SG , not linked to TTSH cluster""",7/3/21,TRUE
376978,72,"""Channel News Octo""","""South Korea says AstraZeneca Pfizer Covid19 vaccines 87% effective after first shot""",8/3/21,TRUE
409183,73,"""New In""","""Covid19 Air Travel Bubble Flights between Singapore and Hong Kong""",9/3/21,TRUE
923225,74,"""New In""","""Covid19 Entry Requirements for Travellers to China""",10/3/21,TRUE
526858,75,"""Breaking News""","""Hospitals reduce non urgent surgery to prepare for surge in Covid19 cases in S'pore""",11/3/21,TRUE
787899,76,"""Channel News Octo""","""Temporary Covid 19 curbs will not derail Singapore recovery say economists""",12/3/21,TRUE
848959,77,"""Channel News Octo""","""Olympics Coe says Tokyo 2020 organisers delivered on Covid19 protocols""",13/3/21,TRUE
345494,78,"""Turbo Times""","""Malaysia's vaccination plan may be delayed as 'pharmaceutical firms prioritise rich nations', says minister""",14/3/21,TRUE
698301,79,"""Turbo Times""","""Cruises eye smoother waters with Covid19 vaccines health bubbles'""",15/3/21,TRUE
395038,80,"""Breaking News""","""1 community infection among 16 new Covid19 cases in SG , not linked to TTSH cluster""",16/3/21,TRUE
891103,81,"""Channel News Octo""","""South Korea says AstraZeneca Pfizer Covid19 vaccines 87% effective after first shot""",17/3/21,TRUE
938520,82,"""New In""","""Covid19 Air Travel Bubble Flights between Singapore and Hong Kong""",18/3/21,TRUE
394447,83,"""New In""","""Covid19 Entry Requirements for Travellers to China""",19/3/21,TRUE
588074,84,"""Breaking News""","""Hospitals reduce non urgent surgery to prepare for surge in Covid19 cases in S'pore""",20/3/21,TRUE
162410,85,"""Channel News Octo""","""Temporary Covid 19 curbs will not derail Singapore recovery say economists""",21/3/21,TRUE
198453,86,"""Channel News Octo""","""Olympics Coe says Tokyo 2020 organisers delivered on Covid19 protocols""",22/3/21,TRUE
841919,87,"""Turbo Times""","""Malaysia's vaccination plan may be delayed as 'pharmaceutical firms prioritise rich nations', says minister""",23/3/21,TRUE
272998,88,"""Turbo Times""","""Cruises eye smoother waters with Covid19 vaccines health bubbles'""",24/3/21,TRUE
225193,89,"""Breaking News""","""1 community infection among 16 new Covid19 cases in SG , not linked to TTSH cluster""",25/3/21,TRUE
844362,90,"""Channel News Octo""","""South Korea says AstraZeneca Pfizer Covid19 vaccines 87% effective after first shot""",26/3/21,TRUE
791093,91,"""New In""","""Covid19 Air Travel Bubble Flights between Singapore and Hong Kong""",27/3/21,TRUE
444999,92,"""New In""","""Covid19 Entry Requirements for Travellers to China""",28/3/21,TRUE
400632,93,"""Breaking News""","""Hospitals reduce non urgent surgery to prepare for surge in Covid19 cases in S'pore""",29/3/21,TRUE
135195,94,"""Channel News Octo""","""Temporary Covid 19 curbs will not derail Singapore recovery say economists""",30/3/21,TRUE
121143,95,"""Channel News Octo""","""Olympics Coe says Tokyo 2020 organisers delivered on Covid19 protocols""",31/3/21,TRUE
937521,96,"""Turbo Times""","""Malaysia's vaccination plan may be delayed as 'pharmaceutical firms prioritise rich nations', says minister""",1/4/21,TRUE
